专业名称,所属学院,2018最低分,2018最低排位,2018平均分,2018平均排位,2019最低分,2019最低排位,2019平均分,2019平均排位,2020最低分,2020最低排位,2020平均分,2020平均排位
海洋工程与技术,海洋工程与技术学院,608,6863,611,6188,595,9391,597,8858,629,8426,630,8145,
生物科学,农学院,-1,-1,-1,-1,596,9114,604,7070,-1,-1,-1,-1,
遥感科学与技术,测绘科学与技术学院,-1,-1,-1,-1,-1,-1,-1,-1,629,8426,634,7030,
土木、水利与海洋工程,土木工程学院,-1,-1,-1,-1,-1,-1,-1,-1,630,8145,634,7030,
预防医学,公共卫生学院（深圳）,608,6863,611,6188,595,9391,603,7302,629,8426,632,7593,
地质学类（含地质学、地质工程专业）,地球科学与工程学院,607,7079,609,6631,601,7785,605,6834,631,7856,633,7314,
化学工程与工艺,化学工程与技术学院,607,7079,611,6188,596,9114,602,7538,631,7856,634,7030,
海洋科学,海洋科学学院,608,6863,611,6188,595,9391,601,7785,629,8426,635,6769,
地理信息科学,测绘科学与技术学院,-1,-1,-1,-1,596,9114,605,6834,-1,-1,-1,-1,
土木类（含土木工程、水文与水资源工程专业）,土木工程学院,-1,-1,-1,-1,597,8858,606,6621,-1,-1,-1,-1,
历史学,历史学系（珠海）,-1,-1,-1,-1,599,8273,606,6621,633,7314,636,6490,
大气科学类（含大气科学、应用气象学专业）,大气科学学院,608,6863,611,6188,601,7785,609,5974,629,8426,634,7030,
核工程类（中法合作办学）（核工程与核技术专业）,中法核工程与技术学院,608,6863,614,5585,596,9114,605,6834,629,8426,635,6769,
材料类（含材料物理、材料化学专业）,材料学院,609,6631,613,5780,606,6621,609,5974,629,8426,633,7314,
药学,药学院（深圳）,608,6863,612,5967,603,7302,607,6399,634,7030,637,6244,
航空航天类（含航空航天工程、理论与应用力学专业）,航空航天学院,-1,-1,-1,-1,606,6621,611,5537,629,8426,635,6769,
生态学,生态学院,-1,-1,-1,-1,596,9114,605,6834,638,6008,641,5338,
水文与水资源工程,土木工程学院,608,6863,612,5967,-1,-1,-1,-1,-1,-1,-1,-1,
生物医学工程,生物医学工程学院,608,6863,614,5585,609,5974,612,5336,629,8426,635,6769,
预防医学,公共卫生学院,608,6863,615,5398,600,8019,608,6199,635,6769,639,5773,
土木工程,土木工程学院,608,6863,613,5780,-1,-1,-1,-1,-1,-1,-1,-1,
航空航天工程,航空航天学院,610,6401,614,5585,-1,-1,-1,-1,-1,-1,-1,-1,
理论与应用力学,航空航天学院,609,6631,615,5398,-1,-1,-1,-1,-1,-1,-1,-1,
历史学,历史学系,609,6631,614,5585,611,5537,615,4796,638,6008,640,5562,
图书情报与档案管理类（含信息管理与信息系统、图书馆学、档案学专业）,资讯管理学院,-1,-1,-1,-1,596,9114,613,5159,638,6008,642,5127,
旅游管理类（含旅游管理、会展经济与管理专业）,旅游学院,620,4454,624,3824,596,9114,609,5974,638,6008,640,5562,
国际政治,国际关系学院,612,5967,615,5398,609,5974,614,4975,642,5127,644,4673,
地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,地理科学与规划学院,612,5967,617,4973,-1,-1,-1,-1,-1,-1,-1,-1,
交通工程,智能工程学院,608,6863,617,4973,-1,-1,-1,-1,-1,-1,-1,-1,
环境科学与工程类（含环境科学、环境工程专业）,环境科学与工程学院,614,5585,621,4292,610,5748,617,4422,636,6490,641,5338,
物理学类（含物理学、天文学专业）,物理与天文学院,-1,-1,-1,-1,611,5537,616,4615,639,5773,644,4673,
物理学,物理与天文学院,612,5967,619,4598,-1,-1,-1,-1,-1,-1,-1,-1,
临床医学,医学院,609,6631,617,4973,610,5748,616,4615,641,5338,647,4086,
材料类（含材料物理、材料化学、高分子材料与工程专业）,材料科学与工程学院,615,5398,621,4292,610,5748,618,4248,638,6008,642,5127,
智能科学与技术,人工智能学院,-1,-1,-1,-1,-1,-1,-1,-1,639,5773,645,4464,
法医学,中山医学院,617,4973,621,4292,605,6834,611,5537,643,4891,651,3397,
微电子科学与工程,微电子科学与技术学院,-1,-1,-1,-1,605,6834,619,4099,639,5773,644,4673,
化学类（含化学、高分子材料与工程专业）,化学学院,615,5398,622,4133,607,6399,617,4422,640,5562,645,4464,
哲学,哲学系,617,4973,621,4292,-1,-1,-1,-1,-1,-1,-1,-1,
药学,药学院,613,5780,623,3969,608,6199,616,4615,640,5562,647,4086,
电子信息类（含电子信息科学与技术、通信工程专业）,电子与通信工程学院,617,4973,623,3969,615,4796,620,3954,640,5562,645,4464,
软件工程,软件工程学院,-1,-1,-1,-1,-1,-1,-1,-1,642,5127,649,3749,
心理学,心理学系,617,4973,623,3969,619,4099,624,3370,645,4464,650,3567,
哲学类（含哲学、逻辑学专业）,哲学系,-1,-1,-1,-1,615,4796,622,3653,642,5127,650,3567,
地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学、城乡规划专业）,地理科学与规划学院,-1,-1,-1,-1,614,4975,620,3954,644,4673,652,3218,
逻辑学,哲学系,621,4292,626,3535,-1,-1,-1,-1,-1,-1,-1,-1,
光电信息科学与工程（理学）,物理学院,621,4292,626,3535,-1,-1,-1,-1,-1,-1,-1,-1,
生物科学类（含生物科学、生物技术、生态学专业）,生命科学学院,615,5398,624,3824,614,4975,624,3370,644,4673,651,3397,
图书情报与档案管理类（含图书馆学、档案学专业）,资讯管理学院,626,3535,627,3393,-1,-1,-1,-1,-1,-1,-1,-1,
工商管理类（含工商管理、会计学专业）,国际金融学院,613,5780,627,3393,-1,-1,-1,-1,-1,-1,-1,-1,
计算机类（含智能科学与技术、交通工程专业）,智能工程学院,-1,-1,-1,-1,617,4422,627,2974,643,4891,649,3749,
外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,国际翻译学院,628,3263,631,2870,614,4975,623,3499,645,4464,650,3567,
