专业名称	所属学院	计划类别	学制	计划数	 学费	院本部	报到校区
材料类（含材料物理、材料化学、高分子材料与工程专业）	材料科学与工程学院	普通类	四年	64	6850	广州校区东校园	广州校区东校园
材料类(含材料物理、材料化学专业）	材料学院	普通类	四年	47	6850	深圳校区	广州校区东校园
新闻传播学类（含新闻学、传播学专业）	传播与设计学院	普通类	四年	4	6060	广州校区东校园	广州校区东校园
大气科学类（含大气科学、应用气象学专业）	大气科学学院	普通类	四年	24	6850	珠海校区	珠海校区
城乡规划	地理科学与规划学院	普通类	五年	9	6850	广州校区南校园	广州校区南校园
地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）	地理科学与规划学院	普通类	四年	22	6850	广州校区南校园	广州校区南校园
地质学类（含地质学、地质工程专业）	地球科学与工程学院	普通类	四年	5	6850	珠海校区	珠海校区
电子信息类（含电子信息科学与技术、通信工程专业）	电子与通信工程学院	普通类	四年	180	6850	深圳校区	广州校区东校园
电子信息类（含电子信息科学与技术、通信工程专业）	电子与信息工程学院	普通类	四年	57	6850	广州校区东校园	广州校区东校园
光电信息科学与工程（工学）	电子与信息工程学院	普通类	四年	33	6850	广州校区东校园	广州校区东校园
微电子科学与工程	电子与信息工程学院	普通类	四年	35	6850	广州校区东校园	广州校区东校园
法学	法学院	普通类	四年	6	6060	广州校区东校园	广州校区东校园
预防医学	公共卫生学院	普通类	五年	36	7660	广州校区北校园	广州校区东校园
预防医学	公共卫生学院（深圳）	普通类	五年	37	7660	深圳校区	广州校区东校园
工商管理	管理学院	普通类	四年	30	6060	广州校区东校园	广州校区东校园
会计学	管理学院	普通类	四年	45	6060	广州校区东校园	广州校区东校园
口腔医学	光华口腔医学院	普通类	五年	14	7660	广州校区北校园	广州校区东校园
口腔医学（5+3）	光华口腔医学院	普通类	5+3医	22	7660	广州校区北校园	广州校区东校园
外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）	国际翻译学院	普通类	四年	6	6850	珠海校区	珠海校区
国际政治	国际关系学院	普通类	四年	3	6060	珠海校区	广州校区南校园
