分数段	分数段人数	累计人数
691	22	22
690	6	28
689	4	32
688	3	35
687	1	36
686	1	37
685	6	43
684	7	50
683	3	53
682	10	63
681	8	71
680	5	76
679	10	86
678	10	96
677	12	108
676	10	118
675	21	139
674	10	149
673	11	160
672	19	179
671	15	194
670	24	218
669	24	242
668	15	257
667	27	284
666	25	309
665	24	333
664	36	369
663	26	395
662	33	428
661	32	460
660	27	487
659	35	522
658	33	555
657	47	602
656	35	637
655	36	673
654	44	717
653	54	771
652	49	820
651	36	856
650	57	913
649	51	964
648	67	1031
647	53	1084
646	70	1154
645	70	1224
644	69	1293
643	81	1374
642	73	1447
641	70	1517
640	62	1579
639	74	1653
638	88	1741
637	99	1840
636	88	1928
635	112	2040
634	101	2141
633	112	2253
632	119	2372
631	117	2489
630	117	2606
629	123	2729
628	112	2841
627	133	2974
626	137	3111
625	143	3254
624	116	3370
623	129	3499
622	154	3653
621	151	3804
620	150	3954
619	145	4099
618	149	4248
617	174	4422
616	193	4615
615	181	4796
614	179	4975
613	184	5159
612	177	5336
611	201	5537
610	211	5748
609	226	5974
608	225	6199
607	200	6399
606	222	6621
605	213	6834
604	236	7070
603	232	7302
602	236	7538
601	247	7785
600	234	8019
599	254	8273
598	279	8552
597	306	8858
596	256	9114
595	277	9391
594	273	9664
593	274	9938
592	277	10215
591	295	10510
590	324	10834
589	314	11148
588	300	11448
587	348	11796
586	334	12130
585	330	12460
584	390	12850
583	389	13239
582	366	13605
581	374	13979
580	392	14371
579	400	14771
578	418	15189
577	387	15576
576	397	15973
575	441	16414
574	419	16833
573	461	17294
572	452	17746
571	452	18198
570	488	18686
569	445	19131
568	499	19630
567	482	20112
566	493	20605
565	480	21085
564	503	21588
563	538	22126
562	555	22681
561	524	23205
560	555	23760
559	549	24309
558	579	24888
557	570	25458
556	584	26042
555	578	26620
554	578	27198
553	597	27795
552	578	28373
551	607	28980
550	589	29569
549	615	30184
548	625	30809
547	707	31516
546	630	32146
545	697	32843
544	676	33519
543	693	34212
542	665	34877
541	704	35581
540	707	36288
539	705	36993
538	740	37733
537	737	38470
536	728	39198
535	750	39948
534	760	40708
533	763	41471
532	760	42231
531	714	42945
530	827	43772
529	789	44561
528	792	45353
527	768	46121
526	838	46959
525	837	47796
524	845	48641
523	928	49569
522	888	50457
521	865	51322
520	890	52212
519	899	53111
518	940	54051
517	912	54963
516	910	55873
515	928	56801
514	918	57719
513	946	58665
512	1038	59703
511	1008	60711
510	949	61660
509	938	62598
508	970	63568
507	1006	64574
506	941	65515
505	1018	66533
504	990	67523
503	1021	68544
502	988	69532
501	1075	70607
500	1075	71682
499	1113	72795
498	1052	73847
497	1013	74860
496	1094	75954
495	1102	77056
494	1110	78166
493	1097	79263
492	1100	80363
491	1156	81519
490	1146	82665
489	1130	83795
488	1168	84963
487	1062	86025
486	1165	87190
485	1203	88393
484	1050	89443
483	1188	90631
482	1168	91799
481	1189	92988
480	1197	94185
479	1209	95394
478	1126	96520
477	1241	97761
476	1182	98943
475	1205	100148
474	1230	101378
473	1183	102561
472	1189	103750
471	1227	104977
470	1260	106237
469	1241	107478
468	1210	108688
467	1225	109913
466	1252	111165
465	1241	112406
464	1281	113687
463	1265	114952
462	1270	116222
461	1311	117533
460	1279	118812
459	1262	120074
458	1243	121317
457	1325	122642
456	1334	123976
455	1300	125276
454	1319	126595
453	1327	127922
452	1329	129251
451	1290	130541
450	1301	131842
449	1308	133150
448	1331	134481
447	1252	135733
446	1350	137083
445	1296	138379
444	1312	139691
443	1283	140974
442	1305	142279
441	1310	143589
440	1343	144932
439	1308	146240
438	1313	147553
437	1272	148825
436	1334	150159
435	1289	151448
434	1375	152823
433	1386	154209
432	1361	155570
431	1373	156943
430	1301	158244
429	1323	159567
428	1283	160850
427	1278	162128
426	1274	163402
425	1305	164707
424	1288	165995
423	1359	167354
422	1296	168650
421	1308	169958
420	1375	171333
419	1322	172655
418	1354	174009
417	1282	175291
416	1317	176608
415	1227	177835
414	1237	179072
413	1289	180361
412	1283	181644
411	1210	182854
410	1282	184136
409	1266	185402
408	1291	186693
407	1311	188004
406	1306	189310
405	1196	190506
404	1246	191752
403	1154	192906
402	1282	194188
401	1173	195361
400	1240	196601
399	1170	197771
398	1189	198960
397	1188	200148
396	1215	201363
395	1205	202568
394	1162	203730
393	1188	204918
392	1139	206057
391	1139	207196
390	1161	208357
389	1195	209552
388	1150	210702
387	1094	211796
386	1117	212913
385	1167	214080
384	1162	215242
383	1090	216332
382	1096	217428
381	1104	218532
380	1130	219662
379	1185	220847
378	1107	221954
377	1030	222984
376	1125	224109
375	1100	225209
374	1044	226253
373	1055	227308
372	1068	228376
371	1154	229530
370	989	230519
369	1041	231560
368	1009	232569
367	1019	233588
366	958	234546
365	1031	235577
364	1010	236587
363	964	237551
362	958	238509
361	941	239450
360	938	240388
359	922	241310
358	964	242274
357	919	243193
356	897	244090
355	985	245075
354	890	245965
353	915	246880
352	947	247827
351	869	248696
350	895	249591
349	898	250489
348	881	251370
347	889	252259
346	885	253144
345	855	253999
344	798	254797
343	898	255695
342	828	256523
341	832	257355
340	819	258174
339	784	258958
338	857	259815
337	808	260623
336	771	261394
335	828	262222
334	802	263024
333	770	263794
332	782	264576
331	784	265360
330	775	266135
329	763	266898
328	755	267653
327	712	268365
326	651	269016
325	737	269753
324	772	270525
323	709	271234
322	766	272000
321	741	272741
320	664	273405
319	693	274098
318	678	274776
317	692	275468
316	659	276127
315	665	276792
314	707	277499
313	661	278160
312	666	278826
311	635	279461
310	620	280081
309	655	280736
308	603	281339
307	659	281998
306	595	282593
305	588	283181
304	598	283779
303	616	284395
302	577	284972
301	649	285621
300	571	286192
299	568	286760
298	593	287353
297	587	287940
296	572	288512
295	537	289049
294	538	289587
293	552	290139
292	526	290665
291	541	291206
290	555	291761
289	563	292324
288	555	292879
287	533	293412
286	517	293929
285	513	294442
284	536	294978
283	539	295517
282	509	296026
281	442	296468
280	496	296964
279	465	297429
278	508	297937
277	455	298392
276	450	298842
275	514	299356
274	488	299844
273	442	300286
272	475	300761
271	442	301203
270	454	301657
269	472	302129
268	450	302579
267	411	302990
266	446	303436
265	425	303861
264	440	304301
263	424	304725
262	411	305136
261	406	305542
260	434	305976
259	429	306405
258	436	306841
257	417	307258
256	422	307680
255	411	308091
254	376	308467
253	368	308835
252	420	309255
251	377	309632
250	376	310008
249	385	310393
248	399	310792
247	367	311159
246	396	311555
245	413	311968
244	362	312330
243	360	312690
242	359	313049
241	374	313423
240	336	313759
239	365	314124
238	367	314491
237	341	314832
236	371	315203
235	322	315525
234	329	315854
233	350	316204
232	306	316510
231	356	316866
230	363	317229
229	322	317551
228	330	317881
227	361	318242
226	287	318529
225	320	318849
224	345	319194
223	317	319511
222	313	319824
221	326	320150
220	322	320472
219	318	320790
218	327	321117
217	310	321427
216	304	321731
215	312	322043
214	294	322337
213	317	322654
212	285	322939
211	314	323253
210	298	323551
209	292	323843
208	334	324177
207	287	324464
206	287	324751
205	286	325037
204	294	325331
203	281	325612
202	298	325910
201	294	326204
200	287	326491
199	298	326789
198	291	327080
197	237	327317
196	277	327594
195	294	327888
194	293	328181
193	264	328445
192	261	328706
191	283	328989
190	240	329229
189	266	329495
188	267	329762
187	232	329994
186	225	330219
185	291	330510
184	256	330766
183	248	331014
182	254	331268
181	252	331520
180	249	331769
179	235	332004
178	248	332252
177	222	332474
176	242	332716
175	201	332917
174	213	333130
173	208	333338
172	207	333545
171	198	333743
170	219	333962
169	211	334173
168	208	334381
167	217	334598
166	170	334768
165	199	334967
164	206	335173
163	189	335362
162	191	335553
161	205	335758
160	175	335933
159	173	336106
158	170	336276
157	186	336462
156	152	336614
155	163	336777
154	191	336968
153	170	337138
152	159	337297
151	171	337468
150	144	337612
149	153	337765
148	135	337900
147	115	338015
146	152	338167
145	143	338310
144	159	338469
143	135	338604
142	113	338717
141	121	338838
140	129	338967
139	118	339085
138	124	339209
137	132	339341
136	104	339445
135	101	339546
134	113	339659
133	121	339780
132	100	339880
131	88	339968
130	93	340061
129	95	340156
128	92	340248
127	85	340333
126	79	340412
125	89	340501
124	81	340582
123	90	340672
122	76	340748
121	73	340821
120	64	340885
119	75	340960
118	70	341030
117	80	341110
116	69	341179
115	61	341240
114	58	341298
113	64	341362
112	60	341422
111	58	341480
110	42	341522
109	58	341580
108	59	341639
107	63	341702
106	47	341749
105	71	341820
104	61	341881
103	45	341926
102	42	341968
101	48	342016
100	45	342061
