分数段	分数段人数（含本科加分）	累计人数
700	34	34
699	4	38
698	10	48
697	8	56
696	7	63
695	9	72
694	9	81
693	16	97
692	15	112
691	19	131
690	21	152
689	14	166
688	21	187
687	26	213
686	29	242
685	36	278
684	34	312
683	40	352
682	35	387
681	43	430
680	36	466
679	43	509
678	46	555
677	42	597
676	58	655
675	67	722
674	64	786
673	55	841
672	74	915
671	59	974
670	83	1057
669	94	1151
668	87	1238
667	95	1333
666	74	1407
665	112	1519
664	93	1612
663	105	1717
662	104	1821
661	102	1923
660	129	2052
659	126	2178
658	129	2307
657	152	2459
656	156	2615
655	159	2774
654	143	2917
653	140	3057
652	161	3218
651	179	3397
650	170	3567
649	182	3749
648	171	3920
647	166	4086
646	183	4269
645	195	4464
644	209	4673
643	218	4891
642	236	5127
641	211	5338
640	224	5562
639	211	5773
638	235	6008
637	236	6244
636	246	6490
635	279	6769
634	261	7030
633	284	7314
632	279	7593
631	263	7856
630	289	8145
629	281	8426
628	321	8747
627	301	9048
626	337	9385
625	319	9704
624	350	10054
623	333	10387
622	350	10737
621	351	11088
620	387	11475
619	370	11845
618	356	12201
617	377	12578
616	397	12975
615	392	13367
614	378	13745
613	377	14122
612	414	14536
611	412	14948
610	415	15363
609	466	15829
608	427	16256
607	425	16681
606	475	17156
605	476	17632
604	483	18115
603	497	18612
602	503	19115
601	507	19622
600	511	20133
599	522	20655
598	502	21157
597	516	21673
596	542	22215
595	596	22811
594	541	23352
593	558	23910
592	558	24468
591	557	25025
590	610	25635
589	580	26215
588	581	26796
587	639	27435
586	603	28038
585	628	28666
584	646	29312
583	629	29941
582	631	30572
581	645	31217
580	669	31886
579	643	32529
578	671	33200
577	655	33855
576	698	34553
575	741	35294
574	710	36004
573	716	36720
572	749	37469
571	765	38234
570	699	38933
569	720	39653
568	758	40411
567	764	41175
566	745	41920
565	769	42689
564	753	43442
563	778	44220
562	803	45023
561	877	45900
560	836	46736
559	796	47532
558	819	48351
557	836	49187
556	838	50025
555	872	50897
554	838	51735
553	875	52610
552	910	53520
551	852	54372
550	914	55286
549	917	56203
548	884	57087
547	904	57991
546	893	58884
545	924	59808
544	958	60766
543	900	61666
542	976	62642
541	992	63634
540	991	64625
539	970	65595
538	983	66578
537	970	67548
536	991	68539
535	1025	69564
534	984	70548
533	1060	71608
532	1015	72623
531	1007	73630
530	976	74606
529	1025	75631
528	1056	76687
527	1052	77739
