分数段	人数	累计
695	24	24
694	5	29
693	8	37
692	7	44
691	10	54
690	10	64
689	9	73
688	15	88
687	14	102
686	18	120
685	21	141
684	25	166
683	31	197
682	26	223
681	17	240
680	33	273
679	33	306
678	30	336
677	35	371
676	39	410
675	45	455
674	46	501
673	59	560
672	50	610
671	55	665
670	58	723
669	69	792
668	76	868
667	69	937
666	86	1023
665	83	1106
664	85	1191
663	87	1278
662	105	1383
661	97	1480
660	109	1589
659	119	1708
658	134	1842
657	127	1969
656	157	2126
655	162	2288
654	138	2426
653	159	2585
652	159	2744
651	161	2905
650	169	3074
649	190	3264
648	188	3452
647	188	3640
646	210	3850
645	221	4071
644	226	4297
643	206	4503
642	210	4713
641	254	4967
640	245	5212
639	258	5470
638	275	5745
637	286	6031
636	328	6359
635	302	6661
634	293	6954
633	318	7272
632	334	7606
631	357	7963
630	351	8314
629	335	8649
628	372	9021
627	415	9436
626	377	9813
625	385	10198
624	418	10616
623	407	11023
622	450	11473
621	446	11919
620	462	12381
619	492	12873
618	463	13336
617	491	13827
616	508	14335
615	535	14870
614	512	15382
613	536	15918
612	554	16472
611	573	17045
610	542	17587
609	573	18160
608	602	18762
607	641	19403
606	585	19988
605	624	20612
604	658	21270
603	632	21902
602	579	22481
601	622	23103
600	646	23749
599	667	24416
598	659	25075
597	723	25798
596	671	26469
595	720	27189
594	711	27900
593	764	28664
592	777	29441
591	764	30205
590	792	30997
589	841	31838
588	818	32656
587	812	33468
586	817	34285
585	834	35119
584	814	35933
583	841	36774
582	832	37606
581	856	38462
580	884	39346
579	866	40212
578	870	41082
577	924	42006
576	889	42895
575	991	43886
574	957	44843
573	1036	45879
572	930	46809
571	932	47741
570	1016	48757
569	1010	49767
568	960	50727
567	996	51723
566	1080	52803
565	1007	53810
564	1077	54887
563	1063	55950
562	1064	57014
561	1055	58069
560	1081	59150
559	1000	60150
558	1148	61298
557	1078	62376
556	1067	63443
555	1111	64554
554	1050	65604
553	1160	66764
552	1076	67840
551	1155	68995
550	1139	70134
549	1128	71262
548	1147	72409
547	1173	73582
546	1133	74715
545	1149	75864
544	1179	77043
543	1167	78210
542	1195	79405
541	1209	80614
540	1182	81796
539	1194	82990
538	1218	84208
537	1242	85450
536	1197	86647
535	1266	87913
534	1221	89134
533	1365	90499
532	1254	91753
531	1292	93045
530	1268	94313
529	1278	95591
528	1321	96912
527	1295	98207
526	1256	99463
525	1323	100786
524	1282	102068
523	1300	103368
522	1293	104661
521	1294	105955
520	1353	107308
519	1339	108647
518	1335	109982
517	1270	111252
516	1458	112710
515	1282	113992
514	1397	115389
513	1357	116746
512	1322	118068
511	1369	119437
510	1334	120771
509	1328	122099
508	1389	123488
507	1387	124875
506	1374	126249
505	1377	127626
504	1417	129043
503	1352	130395
502	1343	131738
501	1394	133132
500	1395	134527
499	1427	135954
498	1438	137392
497	1373	138765
496	1378	140143
495	1368	141511
494	1352	142863
493	1408	144271
492	1362	145633
491	1365	146998
490	1388	148386
489	1365	149751
488	1419	151170
487	1362	152532
486	1336	153868
485	1461	155329
484	1351	156680
483	1326	158006
482	1419	159425
481	1345	160770
480	1351	162121
479	1371	163492
478	1349	164841
477	1377	166218
476	1333	167551
475	1358	168909
474	1394	170303
473	1364	171667
472	1277	172944
471	1309	174253
470	1341	175594
469	1339	176933
468	1239	178172
467	1378	179550
466	1335	180885
465	1299	182184
464	1335	183519
463	1307	184826
462	1298	186124
461	1263	187387
460	1319	188706
459	1309	190015
458	1366	191381
457	1261	192642
456	1259	193901
455	1269	195170
454	1223	196393
453	1254	197647
452	1279	198926
451	1288	200214
450	1245	201459
449	1212	202671
448	1143	203814
447	1234	205048
446	1221	206269
445	1189	207458
444	1194	208652
443	1191	209843
442	1133	210976
441	1155	212131
440	1162	213293
439	1137	214430
438	1149	215579
437	1090	216669
436	1144	217813
435	1103	218916
434	1094	220010
433	1139	221149
432	1155	222304
431	1100	223404
430	1085	224489
429	1070	225559
428	1111	226670
427	1093	227763
426	1067	228830
425	1072	229902
424	1064	230966
423	1028	231994
422	1096	233090
421	986	234076
420	1030	235106
419	1022	236128
418	973	237101
417	973	238074
416	998	239072
415	984	240056
414	975	241031
413	971	242002
412	940	242942
411	996	243938
410	931	244869
409	945	245814
408	939	246753
